question,answer
Describe the difference between pessimistic and optimistic locking.,Pessimistic locking locks resources to prevent conflicts; optimistic locking allows transactions to proceed and checks for conflicts before committing.
How can deadlocks be prevented in a database system?,"Deadlocks can be prevented by implementing proper locking hierarchy, timeout mechanisms, or deadlock detection algorithms."
What is a B-Tree index?,"A balanced tree data structure that maintains sorted data and allows searches, sequential access, insertions, and deletions in logarithmic time."
Explain the difference between clustered and non-clustered indexes.,A clustered index determines the physical order of data in a table; a non-clustered index is a separate structure that points to the data. 29
What is a hash index?,An index that uses a hash function to map keys to locations in a hash table for quick data retrieval.
Describe the concept of index fragmentation.,"Index fragmentation occurs when the logical order of pages does not match the physical order, leading to inefficient data retrieval."
How does a bitmap index work?,A bitmap index uses bitmaps for each distinct value and is efficient for columns with a low cardinality of distinct values.
What is the purpose of a covering index?,"A covering index includes all the columns needed to satisfy a query, eliminating the need to access the table data."
Explain the difference between dense and sparse indexes.,A dense index has an index entry for every search key value; a sparse index has index entries for only some of the search key values.
What is the role of fill factor in index creation?,"Fill factor determines the percentage of space on each leaf-level page to be filled with data, reserving space for future growth."
Describe the concept of index selectivity.,"Index selectivity is the measure of how well an index can distinguish between rows, calculated as the ratio of distinct key values to the total number of rows."
How does partitioned indexing improve query performance?,"Partitioned indexing divides an index into smaller, more manageable pieces, allowing queries to scan only relevant partitions and improving performance."
"What is the difference between TRUNCATE, DELETE, and DROP?",Command Deletes Rows Can Rollback? Removes Table? DELETE Yes (selected rows) ✅ Yes ❌ No TRUNCATE Yes (all rows) ❌ No ❌ No DROP Yes (entire table) ❌ No ✅ Yes 30
How does a DBMS ensure concurrency control?,"Through locking mechanisms, like two-phase locking (2PL) • Timestamp ordering • Isolation levels (Read Uncommitted, Read Committed, Repeatable • Read, Serializable) 31"
